Tweet Text,Marker of Honesty (0 for no /1 for yes),"Fact, Opinion, or Neither (F/O/N)",Was the Filter Accurate (0 for no/1 for yes),,,Non-Text Quote Tweets (1),,,,,,,
I want a GROWN woman by my side not just in my bed 💯🤞🏾,1,O,1,,,,,,,,,,
Nobody I mean NOBODY has my attention 💯❗️😘,1,O,1,,,,,,,,,,
Happy Bday to the newest member of that 40/40’club @theworldi_c Welcome to only the beginning of living💯🎉💯 @ Buckhead Atlanta https://t.co/7Jdl6sXfT3,0,N,0,,,,,,,,,,
some1 say something cute to me for my header idc if u lie 💯,1,N,0,,,,,,,,,,
I just hope the trolling wey you guys dey troll Medikal be jokes right? Cos nigga deserves some respect 💯🥂,1,O,1,,,,,,,,,,
From Game center’s to PS5 .. God has been good 💯❤️🙏🏽,1,O,1,,,,,,,,,,
"🌟 ⓅⓄⒼⓄⒽⓊⒷ 🌟
✨ (Boosted) Meditite ♀️ (22:09)
MOVES: Confusion / Ice Punch
IV: 💯 (15/15/15) CP: 475 LVL: 24
🇵🇫 Papeete, French Polynesia
-17.544655,-149.580667
#ShinyCheck - follow us see pined link",0,N,0,,,,,,,,,,
“PLEASE DON’T TOUCH ME” Official Audio • Coming Soon • 2021 #grabencashentertainmentinc @rahswish Aye Big Bro You Made Me Do This One 💯 https://t.co/pHLLr5Qmvm,1,O,1,,,,,,,,,,
"saying that something is aesthetically pleasing: 🤢💩🙅‍♀️👎

saying that something is sexy/sexc: 🤩🔥💯❤️",0,N,0,,,,,,,,,,
A pair of dicked Payless shoes 👟. Some shit I never wanted anyway. 💯💯💯🤝🤔🤷🏾‍♂️😒 https://t.co/ZQQGLpmjK4,1,O,1,,,,,,,,,,
Is it just me or does every one have that one person that ruins there drunk or high every damn time ur with them😒💯,1,O,1,,,,,,,,,,
"Algunas personas se creen que son más maduras que uno solo porque son mayores pero a veces pienso que es todo lo contrario porque se comportan peor que un niño de 5 años y a veces los menores somos el ejemplo y los ponemos en su lugar 😂😂😂🤣🤣🤣
La edad no define tu madurez💯",1,O,1,,,,,,,,,,
Putting everything in motion I'm the  Octopus my hands in everything 😤😤🔥💪🏾🎥🙏🏽💯 #MoreThanBlessed https://t.co/FMuf4Rge9H,1,O,1,,,,,,,,,,
"To those that's new to $Vnue or have not looking into what $Vnue is about...???
((( READ THIS POST BELOW IMMEDIATELY BEFORE PPS TRULY RUN UP .05-.25+ SHOR-TERM )))
https://t.co/HLK3wJ5RMW
Cheers mate! 🥳🔥🚀🍻💯👍🔒😎",0,N,0,,,,,,,,,,
Watching my boy @Lav_TMP. Your videos are hella addicting and entertaining. 👍 💯,1,O,1,,,,,,,,,,
"On god, keep that shit away from me💯💖😂 https://t.co/RvmqYeGZlU",1,N,0,,,,,,,,,,
Sometime you gotta watch and observe it’s a mind game 🤲💯❗️,1,O,1,,,,,,,,,,
I been down unfortunately Nd lost loved ones that shit torture me💯,1,O,1,,,,,,,,,,
if you’re sad rn just remember.. pain is temporary. swag is forever 💯,1,O,1,,,,,,,,,,
"🐾3. Just to avoid any misunpawrstanding, our outloook on life is 💯 purrcent #science based. But there are some rare instances where a bit of sage can go a long way to clear purrsistant stenches which would otherwise hurt our little noses. 🖖",0,O,1,,,,,,,,,,
Milli make me wanna be in Miami 💯,1,O,1,,,,,,,,,,
A female suppose to be an investment never a bill 💯,1,O,1,,,,,,,,,,
"Some thoughts on the @shoutoutso_’s 2021 vision 👇🏼

PS: Phase 2&amp;3 will drop your jaws 💯 https://t.co/Dws5i9Gmiv",1,O,1,,,,,,,,,,
Can’t wait around I need me second job 💯,1,O,1,,,,,,,,,,
just realized that i've been unknowingly participating in intermittent fasting due to the pandemic and my depression joining forces... health queens stay winning 😌😤💯,1,O,1,,,,,,,,,,
"Things I am going to force myself to do this year to better myself....

Eat healthier
Exercise more
Build new relationships
Rekindle lost friendships
Be a better human being

I need to improve my mental health and set aside my pride. Do better and be better. #StayHumble💯",1,O,1,,,,,,,,,,
Pretty had me giving more than I was giving 💯🖤,0,N,0,,,,,,,,,,
"Multiple stream of income? Yasssssss! 

If you love me; please plug me to ""Online/Virtual gigs (PA; SM handler; anything Virtual). 

I'm 💯 efficient and also a fast learner",0,O,1,,,,,,,,,,
“Designating domestic terrorism as a federal crime would provide federal departments and agencies with more tools and resources to combat the threat.” 💯 https://t.co/uy1s2mnUOB,1,O,1,,,,,,,,,,
I’ve been down unfortunately she was so mad at me ain’t see it now I feel like I lost ha 💯,1,O,1,,,,,,,,,,
"Sometimes, to love someone you gotta be a stranger 💯",1,O,1,,,,,,,,,,
Totally agree but we can’t give this too much attention because when a man goes through similar situations the women don’t give a damn🤷🏾‍♂️🤔💯 https://t.co/AsJXwRNnD3,1,O,1,,,,,,,,,,
Acabo de terminarme Prison Break 🤩🤩🤩🤩🤩🤩🤩🤩🤩 10/10 💯,0,F,0,,,,,,,,,,
The Byakuya fit 🔥 💯 https://t.co/gaVyDxMel6,0,N,0,,,,,,,,,,
Soaking isn't just for old people or women lol... That shit is to stay forever young 😂😂😂🙌🏾💯 nothing like it,1,O,1,,,,,,,,,,
Before some idiotic Brings up Matthew Stafford to Dallas it’s not going to happen because  DAK Prescott is our quarterback  💯      So keep your hate &amp; Opinions to yourself because we already  A   franchise QB who is  going to led this team to A Super Bowl https://t.co/ymSmebzv9P,1,O,1,,,,,,,,,,
She slime 🐍💯 https://t.co/pjKTAGb5cu,1,O,1,,,,,,,,,,
Might make a girl Bernie-bro out of me! 💯✊🏾💜 https://t.co/dN3krwcJ8t,1,N,0,,,,,,,,,,
One of the best locks on the game hands down.  💯🙌🏻 https://t.co/k4IzJYholU,1,O,1,,,,,,,,,,
School teaches you how to be programmed 💯,1,O,1,,,,,,,,,,
"If you quit once, it becomes a habit 💯

#successmindset #motivation",1,O,1,,,,,,,,,,
👏🏾💖💯 Nothing better then a Black Women💯 https://t.co/Nmev4fqJ2n,1,O,1,,,,,,,,,,
Finally got to meet @AngelGomez143 today! Thank you for stopping by and showing DT love! Learned so much today! You truly are about YOUR PEOPLE! 2021 isn’t ready for what’s to come 📈💪🏼💯 #RawBash #WCC #MidwestThing @neilhorrell @AngelGomez143 @RJGomezIII @SamSindha @JonFreier https://t.co/A6K94QQNyS,1,O,1,,,,,,,,,,
I’d give it all back rn just to see you smile. 💯 I’ll give my hoes back on slime💚 juhh to hea Yhu now🚶🏽‍♂️,1,O,1,,,,,,,,,,
Sixowe crxp if i meet a Bitchk i like and i can see you whenever i want to imma bk loyal 💯❌🧢,1,N,0,,,,,,,,,,
all men do is lie 💯,1,O,1,EXAMPLE,,,,,,,,,
my biggest flex is my bsf is so pretty and every guy has a crush on her but she likes me 😂💯,1,O,1,,,,,,,,,,
as a young lady i have such a high standers when it comes to relationship 📌and who i date💯 first of all i’m not dating nobody who doesn’t want a relationship with God🤦🏾‍♀️secondly that easy success n greed for money/ wanting to be rich n me ain’t working together that’s it.,1,O,1,,,,,,,,,,
"🌟 ⓅⓄⒼⓄⒽⓊⒷ 🌟
✨ (Boosted) Roselia ♀️ (26:42)
MOVES: Razor Leaf / Sludge Bomb
IV: 💯 (15/15/15) CP: 908 LVL: 17
🇨🇦 Pointe-Calumet, Canada
45.473079,-73.929279
#ShinyCheck - more coords &gt;&gt; @pogohubofficial",0,N,0,,,,,,,,,,
Was doing the same thing back during the  IC days  it ain’t nothing new. Happy for you bro @DallasBailey9 💪🏿💯 https://t.co/dr3GZ9ZydS,1,O,1,,,,,,,,,,
"Tell Yb pay ah nigga ah visit, he n my state as we speak ! 💯🌬 https://t.co/2JBePxwrqm",1,F,1,,,,,,,,,,
I FOUND HIS INSTAGRAM AND HE FOLLOWED ME BACK 😹😹😹😹😹😹😹😹💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯 https://t.co/equ9mpU90L,0,F,0,,,,,,,,,,
CRYING RN! THAT'S MY LITTLE BIG BROTHA!! 💯🏁🤑 https://t.co/77cInvdWVo,1,N,0,,,,,,,,,,
"Buenas noches amigos, les presento mi mejor partida de brawl, escríbanme al dm para darles consejos de como jugar así de pro 😎👍💯 https://t.co/R9JAK4yazJ",0,N,0,,,,,,,,,,
"Enisa X Davido ""Love cycle remix""🔥
Are you ready??!!🙌
I can feel the heat already 💯",0,N,0,,,,,,,,,,
Knowledge is a fertile to your wealth💯 gotta be prepared for it when it come.,1,O,1,,,,,,,,,,
Baddest biddy in my block 💯🗣,1,O,1,,,,,,,,,,
"Estoy viendo que eso depende del fabricante .
Hay que analizar muy bien y encontrar la que nos brinde 💯% de seguridad. https://t.co/6PkQSjv7jg",0,O,1,,,,,,,,,,
"Hay cosas q simplemente salen...  q no se pueden fingir... 

#CanYamanCePostaPerTe
💯%#CanYaman https://t.co/tuorhiguNX",0,O,1,,,,,,,,,,
"U DON’T KNOW NOTHING ABOUT THIS #offwhite #NIKE #chicagos #og #jordan1 #dvincycustom #mibrother  #compadres  💯🙏🏽❤️💯 @ Christian Hill Reservoir, Lowell https://t.co/GGkp2gQxJv",1,O,1,,,,,,,,,,
Like Referee blow the whistle and put it on for my money team 💯,0,N,0,,,,,,,,,,
"Final | Everyone scores for your Firestorm while hitting the century mark 💯 

#RollStorm 🔥 https://t.co/e5fsR2oinG",0,N,0,,,,,,,,,,
💯👏🏽 https://t.co/OmipwmlaYh,0,N,0,,,1,,,,,,,
Funky as usual 💯😎 https://t.co/pybYpPgi4w,1,O,1,,,,,,,,,,
Ese niño tiene potencial 💯💯 https://t.co/ltGUNZQaDj,1,O,1,,,,,,,,,,
"Feliz cumpleaños @Roy_Guerrero que lo disfrutes al 💯 en compañía de tu hermosa familia, te mando un abrazo.",0,O,1,,,,,,,,,,
I got to pray harder. 💯,1,O,`,,,,,,,,,,
"10 track drum quantize ❌
10 track guitar quantize ❌
2 track bass quantize ❌
24 track vocal quantize plus tuning 💯",0,N,0,,,,,,,,,,
Da Day We Get A Wingstop In South Bend Its Foreva Bussin😂💯 straight #Gooo🚦,1,O,1,,,,,,,,,,
"今日の麺活🍜太白区富沢

🎍太平楽 富沢店🎍

【朝ラー中(細麺)】
+ライス+温玉

今年初の太平楽(富沢店)さんへ

朝から満員御礼状態!!( ; ﾛ)ﾟ ﾟ
ただ会話ないし
パネルもしっかり設置で安心👍
ラーメンも安心安定の
シンプルイズベスト的美味さ💯
〆はTKG風茶漬け😋💨

今年も宜しくお願いします🙇‍♂️ https://t.co/KmFBijVhlw",0,N,0,,,,,,,,,,
Spot on 💯 https://t.co/HpEcPohZUb,1,O,1,,,,,,,,,,
"1/24♡ 今日はジミンが初めてTwitterで挨拶してくれた日なんだね
これから想い出作って行くからね❤️

#ThankYouJimin #JIMIN
#AlwaysWithJimin
@BTS_twt 
 
내 앞에 나타나줘서 고마워 지민아
부은 눈도 부르룬입술도 내 취향이얍 
👍💯💕 https://t.co/fwFzB6Z0TE",0,N,O,,,,,,,,,,
Once you get the right one it’s like nobody else matter 💯,1,O,1,,,,,,,,,,
"━━━━━━━━━
     💙 *_TEAMⓂYSTiC💙ARG_*💙
                ━━━━━━━━━

  ✨ 🦎 *GROUDON* 🦎✨

       *POTENCIADO/BOOSTED*

      💯=  2️⃣9️⃣3️⃣9️⃣

*GYM 1: JUEGOS DE PLAZA*

*🇦🇷 GYM EX* 🇦🇷

⏳ *_2da Ronda_: 21:05 // XX:05*

*CC GYM:*
-34.544187,-58.476998
#ExPassGym",0,N,0,,,,,,,,,,
Life is better with weed. 💯😂😂 https://t.co/MdeRmIaoAQ,1,O,1,EXAMPLE,,,,,,,,,
"yandel siempre se preocupa por mi bendito, el pri 💯👩🏻‍🤝‍👨🏾❣️",1,O,1,,,,,,,,,,
"space for things to unfold naturally. Your time is coming!! Believe that. 🙌🏽💯 -Major shifts are taking place this weekend, make sure to ground yourself, stay hydrated. I’m  sending all my love &amp; energy to each &amp; every one of you! We’ve got this, we are going to make it! 🤍✨🕊",1,O,1,,,,,,,,,,
Live your life for you and yours.  💯,1,N,0,,,,,,,,,,
these hoes really be slimey 💯,1,O,1,,,,,,,,,,
Esta es una super imagen. De lo que las mujeres somos capaces de alcanzar!❤👠💯 https://t.co/oo7vgNrRc0,1,O,1,,,,,,,,,,
Mó bailão Snrz 🚩💯❤️🥳🥳 https://t.co/eZc681v8yg,0,N,0,,,,,,,,,,
💯💯 https://t.co/NCVjy7u531,0,N,0,,,1,,,,,,,
I don't judge nobody cause I know pain can turn a angel into a demon💯,1,O,1,EXAMPLE,,,,,,,,,
💯👏🏻 https://t.co/P0MPSy3ELE,0,N,0,,,1,,,,,,,
Hope @TOPBIZZY comes with an @Iam_AWard angle 💯,0,N,0,,,,,,,,,,
Sunday morning 💯,0,N,0,,,,,,,,,,
Capones 💯.,0,N,0,,,,,,,,,,
so righteous 💯 https://t.co/KPGzclBjYD,0,N,0,,,,,,,,,,
"✨ Chespin ✨ ♂️
IV: 💯 ( 15/15/15 ) CP: 1018 LVL: 35
Dsp IN: (19:29)
40.224301,-75.254241
#PogoConnection",0,N,0,,,,,,,,,,
"✨ Roselia ✨ ♀️
IV: 💯 ( 15/15/15 ) CP: 1656 LVL: 32
Dsp IN: (19:11)
57.648342,11.894103
#PogoConnection",0,N,0,,,,,,,,,,
No Cap 💯💯💯 https://t.co/25GMuotBUw,1,N,0,,,,,,,,,,
I’ll be your babydoll 👶🏻🚼🥺and your bodyguard 🧍🏻😤🛂 if you tell me to 💯💯🤪,0,N,0,,,,,,,,,,
Activa 💯#23ETriunfoDelPueblo,0,N,0,,,,,,,,,,
💯 https://t.co/jR4wYIgXk1,0,N,0,,,1,,,,,,,
"Every time two people get into it, one person always want to say “they was right about you”. Baby I don’t give an entire fuck🥴🤧🤣💯",1,O,1,,,,,,,,,,
💯 https://t.co/IHrqKkIRyb,0,N,0,,,1,,,,,,,
You ain’t ever pose to do that 💯 like they going appreciate it 😭 https://t.co/WravtTZpRQ,1,O,1,,,,,,,,,,
Some of us never found time to be happy we was too busy tryna be strong 💯,1,O,1,,,,,,,,,,
#BerniesAngels 👇🏼💙😇💯🇺🇸 https://t.co/T4io7LilKc,0,N,0,,,,,,,,,,
"🌟 ⓅⓄⒼⓄⒽⓊⒷ 🌟
✨ (Boosted) Roselia ♀️ (19:54)
MOVES: Razor Leaf / Sludge Bomb
IV: 💯 (15/15/15) CP: 1656 LVL: 32
🇸🇪 Majorna, Sweden
57.648342,11.894103
#ShinyCheck - follow us see pined link",0,N,0,,,,,,,,,,
"Let's do this🤙
Early prelims soon💯
#UFC257 https://t.co/Z4pheNTWIn",1,F,0,,,,,,,,,,
Idc what y’all say. This kit is fly af and I already have the 95 air max to match it. I will be copping it. 💯🚫🧢 https://t.co/6H4imLqzyj,1,O,1,,,,,,,,,,
Facts 💯 https://t.co/SNx7Dppazm,1,N,0,,,,,,,,,,
"I love being in love, but The kind of love that I offer I cant &amp;&amp; wont just give to anybody💯",1,O,1,,,,,,,,,,
Facts 💯 https://t.co/26JORTRXbu,1,N,0,,,,,,,,,,
"i just combed the wikipedia page of Aileen Wuornos(it’s not a lot) and wow, that woman was definitely crazy. best last words ever 💯",1,O,1,,,,,,,,,,
Best believe I don’t care 💯,1,O,1,,,,,,,,,,
🤦🏻‍♂️💯 https://t.co/YmDm4NM7IM,0,N,0,,,1,,,,,,,
i won’t be happy again until im in new york again💯🥺,1,O,1,,,,,,,,,,
Hustle hard for u to achieve ur goals 💯 💯 💯,1,O,1,,,,,,,,,,
Loyalty is for free 💯,1,O,1,,,,,,,,,,
If brownskin women are not being OVERLY SEXUALIZED then we are being told we aren’t accepted because of some made up reason ! Like y’all just don’t wanna see us win😂‼️ pathetic. Imma speak up! Bump that staying quiet ishhh‼️🚫💯,1,O,1,,,,,,,,,,
💯💯 https://t.co/PzZe6RgBvC,0,N,0,,,1,,,,,,,
Banger  💯 #LosDioses https://t.co/84f5CeHFst,0,N,0,,,,,,,,,,
"Whatever you sew, you will reap 💯",1,O,1,,,,,,,,,,
actually... WE ARE GOING TO CHANGE THE WORLD!💯 https://t.co/5OnSnsQxey,1,O,1,,,,,,,,,,
💯❤️ https://t.co/uCjeqsZF09,0,N,0,,,1,,,,,,,
"💯
#AcquitKyleRittenhouse #FreeKyleUSA #SelfDefense #FightBack #LockUpGaigeGrosskreutz 
#TeamRittenhouse https://t.co/mUnfZWy48R",1,O,1,,,,,,,,,,
Lmaoooo 💯 shit wicked this season fr but them still my boys 💙 https://t.co/GLf18QH3JA,1,O,1,,,,,,,,,,
Maybe her election should be investigated⁉️💯 https://t.co/j7kDLJMcQc,1,O,1,,,,,,,,,,
👀😬🤫💯💯 https://t.co/ffaD4SNsAm,0,N,0,,,,,,,,,,
💯💯💯 https://t.co/5SWr4blcTN,0,N,0,,,1,,,,,,,
❤️😛😛🤤🤤♨️🔥💦💦💦 💯 Pure Sex !!! https://t.co/5H8Gcz1Gh6,0,N,0,,,,,,,,,,
“haps bro” more like who gave you speaking privileges and why amirite 💯💯,1,N,0,,,,,,,,,,
"51.50388, -0.01654
Nincada 💯cp483 #ShinyCheck",0,N,0,,,,,,,,,,
💯 omg he’s so inappropriate 🤫 https://t.co/LhTzuXqsk4,1,O,1,,,,,,,,,,
This Energyyy 💯 https://t.co/wPUvQDD6mH,1,N,0,,,,,,,,,,
BEEN A FAN OF G GERBO SINCE LIL HERB 🤷🏾‍♂️💯 https://t.co/ZeTlG7zBrF,1,O,1,,,,,,,,,,
"🔺😷 OJO | Esto le he dicho 💯s  de veces y que digan si no es cierto:

“Unámonos,

º  Luego votamos por un@ sol@ y

º  decidimos entre nosotros.”

Perdí  +de 200 “haters”, que para mí es un montón. Cada persona valios@ montó su tienda aparte.⛺️⛺️  Igual , ya pasó la oportunidad. https://t.co/O0JxfmHKeY",0,O,1,,,,,,,,,,
Excelente ⬇️⬇️⬇️ @Padrino50leyes ❤️💯💥 https://t.co/yJq8QNtxiV,0,N,0,,,,,,,,,,
💯 https://t.co/70fkfKiiNL,0,N,0,,,1,,,,,,,
😂💯 https://t.co/1wdSEOKG6P,0,N,0,,,1,,,,,,,
i literqlly text my irls w these emojis 🤺🏌🏻😣💯💔🙄 if they can’t figure out i do it ironically thats on them,0,N,0,,,,,,,,,,
Solid na solid ganap kagabi💯,1,O,1,,,,,,,,,,
"✨ Nosepass ✨ ♂️
IV: 💯 ( 15/15/15 ) CP: 866 LVL: 31
Dsp IN: (30:23)
9.914810,-84.090353
#PogoConnection",0,N,0,,,,,,,,,,
💯 https://t.co/9fXABrKmnA,0,N,0,,,1,,,,,,,
Forever sucka free💯,1,O,1,,,,,,,,,,
Facts 💯😂 https://t.co/M6bnqsnLri,1,N,0,,,,,,,,,,
💯 can’t go https://t.co/4pJ0CMaRGG,0,N,0,,,,,,,,,,
🗣Say Dat💯🤞🏾🖤 https://t.co/wxJYAahY7x,1,N,0,,,,,,,,,,
all the mfs i looked out for if i ever needed you i hope you there for me 💯,1,O,1,,,,,,,,,,
Free Yot 💯 https://t.co/0BkIPG66fa,1,O,1,,,,,,,,,,
"🌟 ⓅⓄⒼⓄⒽⓊⒷ 🌟
✨ (Boosted) Roselia ♂️ (27:41)
MOVES: Razor Leaf / Sludge Bomb
IV: 💯 (15/15/15) CP: 534 LVL: 10
🇺🇸 Warner Robins, United States
32.634572,-83.651592
#ShinyCheck - follow us see pined link",0,N,0,,,,,,,,,,
THIS 😩🙌🏼💯❤️❤️❤️ https://t.co/fxzgLUGze8,1,N,0,,,,,,,,,,
💯 https://t.co/dfz7OdZGjy,0,N,0,,,1,,,,,,,
"It's just the 23rd day of the New Year and Mingyu decides to ruin my sanity already 💥💯
Not at all complaining though https://t.co/5TvmsaUB7e",1,O,1,,,,,,,,,,
💯💯💯 https://t.co/1dnH7TPGI7,0,N,0,,,1,,,,,,,
💯 https://t.co/ReggL6qVbj,0,N,0,,,1,,,,,,,
and gone forever be💯 https://t.co/9gcPSAiLWU,0,N,0,,,,,,,,,,
💯 https://t.co/KWggEDDbtW,0,N,0,,,1,,,,,,,
💯💯💯💯 https://t.co/UvsqZ7haHv,0,N,0,,,1,,,,,,,
Next winter it’s 3 piece suits n suspenders 💯,1,N,0,,,,,,,,,,
